gene,importance,p_value,rank_by_importance,is_known,high_group_size,low_group_size,significant
EID1,0.0,0.09519785696923821,8174,False,91,92,NO
HCRTR1,0.0,0.4173803160407267,8175,False,91,92,NO
ACTB,0.0,0.13457289731758024,8176,False,90,93,NO
HCRTR2,0.0,0.6656279058934302,8177,False,69,114,NO
STARD10,0.0,0.13254901258284066,8178,False,91,92,NO
DMRT1,0.0,0.5274679613229087,8179,False,59,124,NO
DMRT2,0.0,0.1537070092689988,8180,False,91,92,NO
DMRT3,0.0,0.9469726098946899,8181,False,91,92,NO
HSPB7,0.0,0.7668929020158974,8182,False,91,92,NO
ZXDC,0.0,0.6071847466811289,8183,False,91,92,NO
PROS1,0.0,0.6300142945952324,8184,False,91,92,NO
AMAC1L3,0.0,0.36008293829996485,8186,False,83,100,NO
OR52E4,0.0,,8187,False,0,183,NA
HSPB2,0.0,0.26094887314775106,8188,False,91,92,NO
VAX1,0.0,0.6552081980418596,8189,False,34,149,NO
CRADD,0.0,0.703989814557747,8190,False,91,92,NO
NCKAP5L,0.0,0.017287874989706523,8191,False,91,92,YES
MT1X,0.0,0.010253373903703261,8192,False,91,92,YES
SUCNR1,0.0,0.27344060767833145,8193,False,91,92,NO
PPIP5K2,0.0,0.8438186415038496,8194,False,91,92,NO
PLA2G12B,0.0,0.7853608731915946,8195,False,61,122,NO
ADAR,0.0,0.07760782814025474,8196,False,91,92,NO
NRGN,0.0,0.01676794478830746,8197,False,91,92,YES
HSBP1L1,0.0,2.5965389225871554e-05,8198,False,91,92,YES
MT1M,0.0,0.9259040885135025,8199,False,91,92,NO
HSFY2,0.0,0.443793192315323,8200,False,54,129,NO
ADAL,0.0,0.30765547205378346,8201,False,91,92,NO
MAP1LC3B,0.0,0.7088276051015148,8202,False,91,92,NO
IQCA1,0.0,0.5350796088943459,8203,False,91,92,NO
SF3A3,0.0,0.44692889264019453,8204,False,91,92,NO
MT1E,0.0,0.04398541274719609,8205,False,91,92,YES
MT1F,0.0,0.9851436329131951,8206,False,91,92,NO
MT1G,0.0,0.15869734921825368,8207,False,91,92,NO
